"Local", "População no último censo"
"Abaíra", 8316
"Abaré", 17064
"Acajutiba", 14653
"Adustina", 15702
"Água Fria", 15731
"Érico Cardoso", 10859
"Aiquara", 4602
"Alagoinhas", 141949
"Alcobaça", 21271
"Almadina", 6357
"Amargosa", 34351
"Amélia Rodrigues", 25190
"América Dourada", 15961
"Anagé", 25516
"Andaraí", 13960
"Andorinha", 14414
"Angical", 14073
"Anguera", 10242
"Antas", 17072
"Antônio Cardoso", 11554
"Antônio Gonçalves", 11015
"Aporá", 17731
"Apuarema", 7459
"Aracatu", 13743
"Araçás", 11561
"Araci", 51651
"Aramari", 10036
"Arataca", 10392
"Aratuípe", 8599
"Aurelino Leal", 13595
"Baianópolis", 13850
"Baixa Grande", 20060
"Banzaê", 11814
"Barra", 49325
"Barra da Estiva", 21187
"Barra do Choça", 34788
"Barra do Mendes", 13987
"Barra do Rocha", 6313
"Barreiras", 137427
"Barro Alto", 13612
"Barrocas", 14191
"Barro Preto", 6453
"Belmonte", 21798
"Belo Campo", 16021
"Biritinga", 14836
"Boa Nova", 15411
"Boa Vista do Tupim", 17991
"Bom Jesus da Lapa", 63480
"Bom Jesus da Serra", 10113
"Boninal", 13695
"Bonito", 14834
"Boquira", 22037
"Botuporã", 11154
"Brejões", 14282
"Brejolândia", 11077
"Brotas de Macaúbas", 10717
"Brumado", 64602
"Buerarema", 18605
"Buritirama", 19600
"Caatiba", 11420
"Cabaceiras do Paraguaçu", 17327
"Cachoeira", 32026
"Caculé", 22236
"Caém", 10368
"Caetanos", 13639
"Caetité", 47515
"Cafarnaum", 17209
"Cairu", 15374
"Caldeirão Grande", 12491
"Camacan", 31472
"Camaçari", 242970
"Camamu", 35180
"Campo Alegre de Lourdes", 28090
"Campo Formoso", 66616
"Canápolis", 9410
"Canarana", 24067
"Canavieiras", 32336
"Candeal", 8895
"Candeias", 83158
"Candiba", 13210
"Cândido Sales", 27918
"Cansanção", 32908
"Canudos", 15732
"Capela do Alto Alegre", 11527
"Capim Grosso", 26577
"Caraíbas", 10222
"Caravelas", 21414
"Cardeal da Silva", 8899
"Carinhanha", 28380
"Casa Nova", 64940
"Castro Alves", 25408
"Catolândia", 2612
"Catu", 51077
"Caturama", 8843
"Central", 17013
"Chorrochó", 10734
"Cícero Dantas", 32300
"Cipó", 15755
"Coaraci", 20964
"Cocos", 18153
"Conceição da Feira", 20391
"Conceição do Almeida", 17889
"Conceição do Coité", 62040
"Conceição do Jacuípe", 30123
"Conde", 23620
"Condeúba", 16898
"Contendas do Sincorá", 4663
"Coração de Maria", 22401
"Cordeiros", 8168
"Coribe", 14307
"Coronel João Sá", 17066
"Correntina", 31249
"Cotegipe", 13636
"Cravolândia", 5041
"Crisópolis", 20046
"Cristópolis", 13280
"Cruz das Almas", 58606
"Curaçá", 32168
"Dário Meira", 12836
"Dias d'Ávila", 66440
"Dom Basílio", 11355
"Dom Macedo Costa", 3874
"Elísio Medrado", 7947
"Encruzilhada", 23766
"Entre Rios", 39872
"Esplanada", 32802
"Euclides da Cunha", 56289
"Eunápolis", 100196
"Fátima", 17652
"Feira da Mata", 6184
"Feira de Santana", 556642
"Filadélfia", 16740
"Firmino Alves", 5384
"Floresta Azul", 10660
"Formosa do Rio Preto", 22528
"Gandu", 30336
"Gavião", 4561
"Gentio do Ouro", 10622
"Glória", 15076
"Gongogi", 8357
"Governador Mangabeira", 19818
"Guajeru", 10412
"Guanambi", 78833
"Guaratinga", 22165
"Heliópolis", 13192
"Iaçu", 25736
"Ibiassucê", 10062
"Ibicaraí", 24272
"Ibicoara", 17282
"Ibicuí", 15785
"Ibipeba", 17008
"Ibipitanga", 14171
"Ibiquera", 4866
"Ibirapitanga", 22598
"Ibirapuã", 7956
"Ibirataia", 18943
"Ibitiara", 15508
"Ibititá", 17840
"Ibotirama", 25424
"Ichu", 5255
"Igaporã", 15205
"Igrapiúna", 13343
"Iguaí", 25705
"Ilhéus", 184236
"Inhambupe", 36306
"Ipecaetá", 15331
"Ipiaú", 44390
"Ipirá", 59343
"Ipupiara", 9285
"Irajuba", 7002
"Iramaia", 11990
"Iraquara", 22601
"Irará", 27466
"Irecê", 66181
"Itabela", 28390
"Itaberaba", 61631
"Itabuna", 204667
"Itacaré", 24318
"Itaeté", 14924
"Itagi", 13051
"Itagibá", 15193
"Itagimirim", 7110
"Itaguaçu da Bahia", 13209
"Itaju do Colônia", 7309
"Itajuípe", 21081
"Itamaraju", 63069
"Itamari", 7903
"Itambé", 23089
"Itanagra", 7598
"Itanhém", 20216
"Itaparica", 20725
"Itapé", 10995
"Itapebi", 10495
"Itapetinga", 68273
"Itapicuru", 32261
"Itapitanga", 10207
"Itaquara", 7678
"Itarantim", 18539
"Itatim", 14522
"Itiruçu", 12693
"Itiúba", 36113
"Itororó", 19914
"Ituaçu", 18127
"Ituberá", 26591
"Iuiu", 10900
"Jaborandi", 8973
"Jacaraci", 13651
"Jacobina", 79247
"Jaguaquara", 51011
"Jaguarari", 30343
"Jaguaripe", 16467
"Jandaíra", 10331
"Jequié", 151895
"Jeremoabo", 37680
"Jiquiriçá", 14118
"Jitaúna", 14115
"João Dourado", 22549
"Juazeiro", 197965
"Jucuruçu", 10290
"Jussara", 15052
"Jussari", 6474
"Jussiape", 8031
"Lafaiete Coutinho", 3901
"Lagoa Real", 13934
"Laje", 22201
"Lajedão", 3733
"Lajedinho", 3936
"Lajedo do Tabocal", 8305
"Lamarão", 9560
"Lapão", 25646
"Lauro de Freitas", 163449
"Lençóis", 10368
"Licínio de Almeida", 12311
"Livramento de Nossa Senhora", 42693
"Luís Eduardo Magalhães", 60105
"Macajuba", 11229
"Macarani", 17093
"Macaúbas", 47051
"Macururé", 8073
"Madre de Deus", 17376
"Maetinga", 7038
"Maiquinique", 8782
"Mairi", 19326
"Malhada", 16014
"Malhada de Pedras", 8468
"Manoel Vitorino", 14387
"Mansidão", 12592
"Maracás", 24613
"Maragogipe", 42815
"Maraú", 19101
"Marcionílio Souza", 10500
"Mascote", 14640
"Mata de São João", 40183
"Matina", 11145
"Medeiros Neto", 21560
"Miguel Calmon", 26475
"Milagres", 10306
"Mirangaba", 16279
"Mirante", 10507
"Monte Santo", 52338
"Morpará", 8280
"Morro do Chapéu", 35164
"Mortugaba", 12477
"Mucugê", 10545
"Mucuri", 36026
"Mulungu do Morro", 12249
"Mundo Novo", 24395
"Muniz Ferreira", 7317
"Muquém do São Francisco", 10272
"Muritiba", 28899
"Mutuípe", 21449
"Nazaré", 27274
"Nilo Peçanha", 12530
"Nordestina", 12371
"Nova Canaã", 16713
"Nova Fátima", 7602
"Nova Ibiá", 6648
"Nova Itarana", 7435
"Nova Redenção", 8034
"Nova Soure", 24136
"Nova Viçosa", 38556
"Novo Horizonte", 10673
"Novo Triunfo", 15051
"Olindina", 24943
"Oliveira dos Brejinhos", 21831
"Ouriçangas", 8298
"Ourolândia", 16425
"Palmas de Monte Alto", 20775
"Palmeiras", 8410
"Paramirim", 21001
"Paratinga", 29504
"Paripiranga", 27778
"Pau Brasil", 10852
"Paulo Afonso", 108396
"Pé de Serra", 13752
"Pedrão", 6876
"Pedro Alexandre", 16995
"Piatã", 17982
"Pilão Arcado", 32860
"Pindaí", 15628
"Pindobaçu", 20121
"Pintadas", 10342
"Piraí do Norte", 9799
"Piripá", 12783
"Piritiba", 22399
"Planaltino", 8822
"Planalto", 24481
"Poções", 44701
"Pojuca", 33066
"Ponto Novo", 15742
"Porto Seguro", 126929
"Potiraguá", 9810
"Prado", 27627
"Presidente Dutra", 13750
"Presidente Jânio Quadros", 13652
"Presidente Tancredo Neves", 23846
"Queimadas", 24602
"Quijingue", 27228
"Quixabeira", 9554
"Rafael Jambeiro", 22874
"Remanso", 38957
"Retirolândia", 12055
"Riachão das Neves", 21937
"Riachão do Jacuípe", 33172
"Riacho de Santana", 30646
"Ribeira do Amparo", 14276
"Ribeira do Pombal", 47518
"Ribeirão do Largo", 8602
"Rio de Contas", 13007
"Rio do Antônio", 14815
"Rio do Pires", 11918
"Rio Real", 37164
"Rodelas", 7775
"Ruy Barbosa", 29887
"Salinas da Margarida", 13456
"Salvador", 2675656
"Santa Bárbara", 19064
"Santa Brígida", 15060
"Santa Cruz Cabrália", 26264
"Santa Cruz da Vitória", 6673
"Santa Inês", 10363
"Santaluz", 33838
"Santa Luzia", 13344
"Santa Maria da Vitória", 40309
"Santana", 24750
"Santanópolis", 8776
"Santa Rita de Cássia", 26250
"Santa Terezinha", 9648
"Santo Amaro", 57800
"Santo Antônio de Jesus", 90985
"Santo Estêvão", 47880
"São Desidério", 27659
"São Domingos", 9226
"São Félix", 14098
"São Félix do Coribe", 13048
"São Felipe", 20305
"São Francisco do Conde", 33183
"São Gabriel", 18427
"São Gonçalo dos Campos", 33283
"São José da Vitória", 5715
"São José do Jacuípe", 10180
"São Miguel das Matas", 10414
"São Sebastião do Passé", 42153
"Sapeaçu", 16585
"Sátiro Dias", 18964
"Saubara", 11201
"Saúde", 11845
"Seabra", 41798
"Sebastião Laranjeiras", 10371
"Senhor do Bonfim", 74419
"Serra do Ramalho", 31638
"Sento Sé", 37425
"Serra Dourada", 18112
"Serra Preta", 15401
"Serrinha", 76762
"Serrolândia", 12344
"Simões Filho", 118047
"Sítio do Mato", 12050
"Sítio do Quinto", 12592
"Sobradinho", 22000
"Souto Soares", 15899
"Tabocas do Brejo Velho", 11431
"Tanhaçu", 20013
"Tanque Novo", 16128
"Tanquinho", 8008
"Taperoá", 18748
"Tapiramutá", 16516
"Teixeira de Freitas", 138341
"Teodoro Sampaio", 7895
"Teofilândia", 21482
"Teolândia", 14836
"Terra Nova", 12803
"Tremedal", 17029
"Tucano", 52418
"Uauá", 24294
"Ubaíra", 19750
"Ubaitaba", 20691
"Ubatã", 25004
"Uibaí", 13625
"Umburanas", 17000
"Una", 24110
"Urandi", 16466
"Uruçuca", 19837
"Utinga", 18173
"Valença", 88673
"Valente", 24560
"Várzea da Roça", 13786
"Várzea do Poço", 8661
"Várzea Nova", 13073
"Varzedo", 9109
"Vera Cruz", 37567
"Vereda", 6800
"Vitória da Conquista", 306866
"Wagner", 8983
"Wanderley", 12485
"Wenceslau Guimarães", 22189
"Xique-Xique", 45536
